component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
ff,action,1,0.8529185183510589,tiny-w48-l3-h3,False,synthetic:action:p1,23,0.7234522365208227,1.8061489906888273
ff,action,1,0.9235589803751076,tiny-w48-l3-h3,True,natural:action:communication,23,0.8226849195463568,1.5747462919860584
ff,action,1,0.9357588907331689,tiny-w48-l3-h3,True,natural:action:movement,23,0.8668923620677383,1.4585967120051349
ff,noun,1,0.8519575385236449,tiny-w48-l3-h3,False,synthetic:noun:p0,23,0.6679277209332515,1.2957495448818783
ff,noun,1,0.906198011384502,tiny-w48-l3-h3,False,synthetic:noun:p1,23,0.812430291675402,1.795056346997397
ff,noun,1,0.9084446702716583,tiny-w48-l3-h3,True,natural:noun:bird,23,0.8127822912626455,1.7016170960105519
ff,noun,1,0.9466595250175119,tiny-w48-l3-h3,True,natural:noun:mammal,23,0.8802151281247753,1.4668015269060022
ff,relation,1,0.901874854892245,tiny-w48-l3-h3,False,synthetic:relation:p0,23,0.7935111688820219,1.9904652016021676
ff,relation,1,0.8536410737248946,tiny-w48-l3-h3,False,synthetic:relation:p1,23,0.7200442950289674,1.6470489639435903
ff,relation,1,0.6658679263251301,tiny-w48-l3-h3,True,natural:relation:social,23,0.48222970309694346,1.9115946083778452
ff,relation,1,0.8443435756531074,tiny-w48-l3-h3,True,natural:relation:spatial,23,0.7067339022998316,1.980522141106985
sa,action,1,0.8437394176423454,tiny-w48-l3-h3,False,synthetic:action:p0,23,0.6952855861852038,1.3840492571511156
sa,action,1,0.8412754882313718,tiny-w48-l3-h3,False,synthetic:action:p1,23,0.6968572343286795,1.72974484836616
sa,action,1,0.8499393443631463,tiny-w48-l3-h3,True,natural:action:communication,23,0.7048121671655192,1.2855854026981968
sa,action,1,0.9000950657077024,tiny-w48-l3-h3,True,natural:action:movement,23,0.7856625496753249,1.3540886313620921
