condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
irrelevant,20,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,20,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,21,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,21,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,21,2,1,,6,-7.764749526977539,23,0.0004204282886348665,6,D4,6,0,8
wrong_chain,21,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,21,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,21,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,22,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,22,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,22,2,1,,6,-7.764749526977539,23,0.0004204282886348665,6,D4,6,0,8
wrong_chain,22,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,22,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,22,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,23,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,23,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,23,2,1,,6,-5.515328884124756,23,0.003973609767854214,2,D4,6,0,8
wrong_chain,23,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,23,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,23,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,24,3,1,,6,-6.228367328643799,23,0.001947892364114523,4,D4,6,0,8
correct,24,3,1,11.548118114471436,6,5.319750785827637,23,0.9818251729011536,1,D4,6,1,8
shuffled,24,3,1,,6,-7.238595008850098,23,0.0007107765413820744,5,D4,6,0,8
wrong_chain,24,3,1,,6,5.717777252197266,23,0.990269660949707,1,D4,6,1,8
irrelevant,24,3,1,,6,-3.3527374267578125,23,0.03172539919614792,3,D4,6,0,8
reversed,24,3,1,,6,5.3030009269714355,23,0.9883697032928467,1,D4,6,1,8
none,25,3,1,,6,-6.228367328643799,23,0.001947892364114523,4,D4,6,0,8
correct,25,3,1,11.548118114471436,6,5.319750785827637,23,0.9818251729011536,1,D4,6,1,8
shuffled,25,3,1,,6,-7.238595008850098,23,0.0007107765413820744,5,D4,6,0,8
wrong_chain,25,3,1,,6,5.717777252197266,23,0.990269660949707,1,D4,6,1,8
irrelevant,25,3,1,,6,-3.3527374267578125,23,0.03172539919614792,3,D4,6,0,8
reversed,25,3,1,,6,5.3030009269714355,23,0.9883697032928467,1,D4,6,1,8
none,26,3,1,,6,-6.228367328643799,23,0.001947892364114523,4,D4,6,0,8
correct,26,3,1,11.548118114471436,6,5.319750785827637,23,0.9818251729011536,1,D4,6,1,8
