between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
452.49032214479166,12,2.0461632237144585,0.5263158108600808,eligible,11,0.9766081871345029,1,1399.273482293257,s3,0.48113074053484145,940.4726907222278
2.158896089675085,0,20.645833412123807,-0.01873669523409428,eligible,11,0.9707602339181286,2,59.14660003337578,s3,0.03802323959521122,56.778331154264706
2.5423999528522767,1,19.325079053557534,-0.009766289099810347,eligible,11,0.9532163742690059,2,68.3029050096582,s3,0.03880233030120019,65.52183677446854
2.7259836336585055,2,14.444449034260304,0.02470690328173322,eligible,11,0.7953216374269005,2,76.19520755885723,s3,0.03724224337460719,73.19601039782518
125.6509471894372,3,2.855804627062278,0.33655528898089787,eligible,11,0.935672514619883,2,532.5791719367238,s3,0.30515650701496555,411.75902954028584
133.46296683390824,4,2.977818566509067,0.35517621927686965,eligible,11,0.9415204678362573,2,535.2984946831984,s3,0.3278025290283192,407.1444086360304
527.3582675609503,5,2.5101299039351703,0.7279614130398808,eligible,11,0.9473684210526315,2,1128.208547014724,s3,0.8402789002250441,627.5990833654278
529.6689123575377,6,2.4772840083518157,0.732743768781328,eligible,11,0.9473684210526315,2,1122.5043888128641,s3,0.8546303565451178,619.7637473236992
649.1200476676855,7,2.5723846250086346,0.7714880304003787,eligible,11,0.9707602339181286,2,1308.9866667151095,s3,0.9363330878378953,693.2576196332202
655.9596257982187,8,2.5345602129686307,0.766292774959686,eligible,11,0.9707602339181286,2,1327.340112453156,s3,0.9303116535221989,705.0966450924536
659.907349505836,9,2.532754940775585,0.7411482248812293,eligible,11,0.9649122807017544,2,1420.4705352320937,s3,0.8311339518770021,793.9843487409152
639.6003387539109,10,2.577506953899945,0.7305246596182603,eligible,11,0.9649122807017544,2,1424.180931777313,s3,0.783155975904859,816.6959819301445
918.1951814864035,11,2.6167895177097567,0.7416477447534472,eligible,11,1.0,2,1820.6372196721222,s3,0.9666683872643413,949.855393611471
913.9528888034552,12,2.608754226011189,0.7396437082339058,eligible,11,0.9941520467836257,2,1835.825196357263,s3,0.9432613479770245,968.9285909511094
1.9490824679003866,0,20.628478981032536,0.030687525095374434,eligible,11,0.9647058823529412,3,58.990333987407,s3,0.03437883882156455,56.6942495548748
2.827888376704058,1,20.746077792959145,0.09551677936516283,eligible,11,0.9294117647058824,3,65.91598548872925,s3,0.04510163188403173,62.70035602091501
3.711852453012356,2,16.129715306272058,0.11721961164056104,eligible,11,0.8529411764705882,3,71.93459972371153,s3,0.054747407240733494,67.79960256644205
56.706012334156306,3,2.3968625833779353,0.11279954516525542,eligible,11,0.6529411764705882,3,321.65516478446455,s3,0.21556544284476245,263.0570632456937
